user_facing_name,analysis_id,status,source_r,a_yaml,u_yaml,r_yaml,suggested_report_location,interpretation_location,check_location,report_populated,guidance_populated,check_populated,dynamic_interpretation,duplicated_content,assumptions_interpreted,effect_size_interpreted,confidence_interval_interpreted,citations_present,references_resolve,numeric_reference_ids,guidance_hideable,hidden_leaves_empty,width_problem,standalone_addon_consistent,recommended_action,implementation_status
Guided T-Test,eduTTest,guided-hidden,R/ttest.R,jamovi/eduTTest.a.yaml,jamovi/eduTTest.u.yaml,jamovi/eduTTest.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Separate concise report and merge all educational content into one collapsed structured guidance panel,audited
Guided Independent Samples t-test,eduTTestIndependent,guided,R/ttest.R,jamovi/eduTTestIndependent.a.yaml,jamovi/eduTTestIndependent.u.yaml,jamovi/eduTTestIndependent.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Use as pilot; add complete dynamic t-test interpretation and collapsed structured panel,audited
Guided Paired Samples t-test,eduTTestPaired,guided,R/ttest.R,jamovi/eduTTestPaired.a.yaml,jamovi/eduTTestPaired.u.yaml,jamovi/eduTTestPaired.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Add paired-order and difference-score guidance; merge checks into collapsed panel,audited
Guided One-Way ANOVA,eduAnova,guided,R/anova.R,jamovi/eduAnova.a.yaml,jamovi/eduAnova.u.yaml,jamovi/eduAnova.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Add omnibus-first effect-size uncertainty and post-hoc decision guidance,audited
Guided Correlation,eduCorrelation,guided,R/correlation.R,jamovi/eduCorrelation.a.yaml,jamovi/eduCorrelation.u.yaml,jamovi/eduCorrelation.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Add method-specific direction magnitude interval and scatterplot guidance,audited
Guided Chi-Square Test of Independence,eduChiSquareIndependence,guided,R/chisquare.R,jamovi/eduChiSquareIndependence.a.yaml,jamovi/eduChiSquareIndependence.u.yaml,jamovi/eduChiSquareIndependence.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,no,partial,yes,no,no,no,no,partial,Add expected-count residual and table-sensitive Cramer's V guidance,audited
Guided Chi-Square Goodness-of-Fit,eduChiSquareGoodness,guided,R/chisquare.R,jamovi/eduChiSquareGoodness.a.yaml,jamovi/eduChiSquareGoodness.u.yaml,jamovi/eduChiSquareGoodness.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,no,partial,yes,no,no,no,no,partial,Integrate expected distribution residuals and category follow-ups,audited
Guided Linear Regression,eduRegression,guided,R/regression.R,jamovi/eduRegression.a.yaml,jamovi/eduRegression.u.yaml,jamovi/eduRegression.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Add model-first and coefficient-specific guidance without generic R-squared labels,audited
Guided Binomial Logistic Regression,eduLogistic,guided,R/logistic-regression.R,jamovi/eduLogistic.a.yaml,jamovi/eduLogistic.u.yaml,jamovi/eduLogistic.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Add coding-specific odds-ratio interval and separation guidance,audited
Guided Multinomial Logistic Regression,eduMultinomialLogistic,guided,R/multinomial-logistic.R,jamovi/eduMultinomialLogistic.a.yaml,jamovi/eduMultinomialLogistic.u.yaml,jamovi/eduMultinomialLogistic.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Add outcome-comparison and reference-category guidance with multiplicity caution,audited
Guided Between-Subjects ANOVA,eduBetweenAnova,guided,R/anova-designs.R,jamovi/eduBetweenAnova.a.yaml,jamovi/eduBetweenAnova.u.yaml,jamovi/eduBetweenAnova.r.yaml,R/jamovi-helpers.R:.jr_anova_between_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_anova_between_checklist_items,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Prioritise interactions and move diagnostics/checks out of report,audited
Guided Repeated-Measures ANOVA,eduRMAnova,guided,R/anova-designs.R,jamovi/eduRMAnova.a.yaml,jamovi/eduRMAnova.u.yaml,jamovi/eduRMAnova.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Add sphericity correction and within-person follow-up guidance,audited
Guided Mixed ANOVA,eduMixedAnova,guided,R/anova-designs.R,jamovi/eduMixedAnova.a.yaml,jamovi/eduMixedAnova.u.yaml,jamovi/eduMixedAnova.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Interpret interaction before main effects and add simple-effects guidance,audited
Guided ANCOVA,eduAncova,guided,R/anova-designs.R,jamovi/eduAncova.a.yaml,jamovi/eduAncova.u.yaml,jamovi/eduAncova.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Distinguish adjusted means and integrate slope diagnostic,audited
Guided MANOVA / MANCOVA,eduMancova,guided,R/mancova.R,jamovi/eduMancova.a.yaml,jamovi/eduMancova.u.yaml,jamovi/eduMancova.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Explain multivariate result before Holm-adjusted univariate screening,audited
Guided Reliability: Omega and Alpha,eduReliabilityOmega,guided,R/reliability.R,jamovi/eduReliabilityOmega.a.yaml,jamovi/eduReliabilityOmega.u.yaml,jamovi/eduReliabilityOmega.r.yaml,R/jamovi-helpers.R:.jr_guided_report_sections_html,R/jr-html.R:.jr_jamovi_interpretation_html,R/jamovi-helpers.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,yes,yes,no,no,no,no,partial,Explain omega and alpha without universal cut-offs or unidimensionality claims,audited
Demographic Table,eduDemographics,standalone,R/demographics.R,jamovi/eduDemographics.a.yaml,jamovi/eduDemographics.u.yaml,jamovi/eduDemographics.r.yaml,R/eduDemographics.b.R:.dm_paragraph_html,R/eduDemographics.b.R:.dm_best_practices_html,R/eduDemographics.b.R:.dm_best_practices_html,yes,yes,yes,no,no,partial,not-applicable,not-applicable,no,yes,no,yes,no,no,not-applicable,Rename paragraph/report guidance consistently and use one collapsed interpretation panel,audited
Automatic Independent Samples T-Test,jrReportTTestIS,add-on,R/jr-core-ttest-adapter.R,jamovi/jrReportTTestIS.a.yaml,jamovi/jrReportTTestIS.u.yaml,jamovi/jrReportTTestIS.r.yaml,R/jr-core-ttest-renderer.R:.jr_core_ttest_render,R/jr-core-ttest-renderer.R:.jr_core_ttest_render,R/jr-core-ttest-renderer.R:.jr_core_ttest_checklist,yes,yes,yes,yes,yes,partial,yes,partial,yes,yes,no,yes,no,no,partial,Use pilot architecture; preserve legacy section options as compatibility inputs,audited
Automatic Paired Samples T-Test,jrReportTTestPS,add-on,R/jrReportTTestPS.b.R,jamovi/jrReportTTestPS.a.yaml,jamovi/jrReportTTestPS.u.yaml,jamovi/jrReportTTestPS.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Use shared report/guidance split for t and Wilcoxon/Bayes rows,audited
Automatic One-Way ANOVA,jrReportAnovaOneW,add-on,R/jrReportAnovaOneW.b.R,jamovi/jrReportAnovaOneW.a.yaml,jamovi/jrReportAnovaOneW.u.yaml,jamovi/jrReportAnovaOneW.r.yaml,R/jr-addon.R:.jr_addon_report_html,R/jr-addon.R:.jr_addon_interpretation_html,R/jr-addon.R:.jr_analysis_checklist,yes,yes,yes,partial,yes,partial,partial,partial,partial,yes,no,no,no,no,partial,Use shared structured ANOVA guidance and preserve selected post-hocs,audited
